"Story","Title","Result","Date","Stability","Duration (s)"
"Main page tests","TS-T58 Verify search results page has correct sorting options","SUCCESS","2020-03-03T20:26:01.122-05:00[America/New_York]","0.0","26.16"
"Main page tests","TS-T112 Each search result has image","SUCCESS","2020-03-03T20:26:27.568-05:00[America/New_York]","0.0","33.0"
"Main page tests","TS-T34 Search legend for Laptop query","FAILURE","2020-03-03T20:27:00.799-05:00[America/New_York]","0.0","27.72"
"Main page tests","TS-T33 Search legend for Monitor query","IGNORED","2020-03-03T20:27:28.81-05:00[America/New_York]","0.0","0.0"
"Main page tests","TS-T12 Search form is presented on Main Page","SUCCESS","2020-03-03T20:27:28.887-05:00[America/New_York]","0.0","11.63"
